,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
2446,9930,中聯資源,241766.0,14538148.0,60.6,60.6,60.0,60.0,-0.8,351.0
1215,9931,欣高,38490.0,1416755.0,36.95,36.95,36.7,36.7,-0.2,59.0
2447,9931,欣高,31007.0,1135061.0,36.65,36.65,36.5,36.65,-0.05,25.0
1216,9933,中鼎,3292425.0,162631308.0,49.25,49.8,48.85,49.55,0.35,2425.0
2448,9933,中鼎,5557945.0,264987072.0,48.5,48.5,47.15,47.3,-1.6,3933.0
1217,9934,成霖,990476.0,16479009.0,16.5,16.8,16.4,16.55,0.05,407.0
2449,9934,成霖,12055084.0,216988220.0,18.15,18.5,17.6,17.6,-0.6,5173.0
1218,9935,慶豐富,248521.0,5686142.0,22.85,23.05,22.7,22.95,0.1,184.0
2450,9935,慶豐富,1679654.0,40102213.0,23.5,24.6,23.15,24.6,0.85,886.0
1219,9937,全國,30136.0,2012725.0,66.8,67.5,66.6,66.6,-0.7,134.0
2451,9937,全國,19576.0,1282203.0,66.5,66.5,64.9,65.1,-1.6,246.0
1220,9938,百和,1512107.0,88162658.0,58.5,59.3,57.5,57.9,-0.3,1105.0
2452,9938,百和,3180523.0,190052829.0,60.7,60.7,58.5,60.4,-0.2,3535.0
1221,9939,宏全,1671249.0,261270407.0,152.0,159.0,152.0,155.0,3.0,2147.0
2453,9939,宏全,911595.0,139409945.0,155.5,155.5,152.0,152.5,-2.0,1133.0
1222,9940,信義,374111.0,11623942.0,31.25,31.3,30.95,30.95,-0.3,414.0
2454,9940,信義,682200.0,20813851.0,31.0,31.0,30.25,30.4,-0.7,740.0
1223,9941,裕融,1080111.0,161889717.0,151.0,151.0,148.5,150.0,0.5,1538.0
2455,9941,裕融,1908849.0,278305160.0,148.5,148.5,144.5,145.0,-4.0,3553.0
1224,9941A,裕融甲特,12100.0,611850.0,50.5,50.6,50.5,50.6,0.1,8.0
2456,9941A,裕融甲特,32001.0,1618050.0,50.6,50.7,50.5,50.7,0.1,12.0
1225,9942,茂順,263956.0,34518402.0,130.5,131.5,130.0,131.0,0.5,284.0
2457,9942,茂順,374508.0,48242108.0,130.5,130.5,128.0,128.0,-3.0,584.0
1226,9943,好樂迪,425429.0,37768053.0,87.6,89.5,87.4,87.9,0.3,300.0
2458,9943,好樂迪,385538.0,33702587.0,87.7,88.5,87.0,87.2,-0.9,446.0
1227,9944,新麗,550654.0,11726975.0,21.35,21.35,21.1,21.3,-0.05,183.0
2459,9944,新麗,526752.0,11097936.0,21.2,21.25,20.75,20.75,-0.6,257.0
1228,9945,潤泰新,5326590.0,185480719.0,34.6,35.05,34.5,34.95,0.05,2742.0
2460,9945,潤泰新,10051161.0,347168922.0,35.25,35.25,34.25,34.45,-0.75,9560.0
1229,9946,三發地產,2495626.0,75287916.0,31.3,31.3,29.8,29.9,-1.0,1250.0
2461,9946,三發地產,1955357.0,57973730.0,29.9,30.3,29.0,29.4,-0.9,1100.0
1230,9955,佳龍,5664002.0,164221163.0,28.85,29.45,28.3,29.05,1.05,3344.0
2462,9955,佳龍,10604421.0,368368764.0,33.85,35.1,33.2,35.1,3.15,5156.0
1231,9958,世紀鋼,7002353.0,1419494319.0,196.5,207.5,195.5,206.5,6.0,5506.0
